,value,component,exp,Time
6,377.8076740506329,z-mom,real,2000-01-01 05:00:00
7,4.39169551028481,z-mom,real,2000-01-01 05:00:00
8,439.4161392405063,z-mom,real,2000-01-01 05:00:00
9,215.41099683544303,z-mom,real,2000-01-01 05:00:00
10,205.87741297468355,z-mom,real,2000-01-01 05:00:00
11,246.82363528481014,z-mom,real,2000-01-01 05:00:00
12,154.5314082278481,z-mom,real,2000-01-01 05:00:00
13,376.1314082278481,z-mom,real,2000-01-01 05:00:00
14,212.84889240506328,z-mom,real,2000-01-01 05:00:00
15,322.1888844936709,z-mom,real,2000-01-01 05:00:00
16,662.371756329114,z-mom,real,2000-01-01 05:00:00
17,719.7417721518988,z-mom,real,2000-01-01 05:00:00
18,596.2821202531645,z-mom,real,2000-01-01 05:00:00
19,503.75680379746836,z-mom,real,2000-01-01 05:00:00
20,543.2849287974684,z-mom,real,2000-01-01 05:00:00
21,277.74786392405065,z-mom,real,2000-01-01 05:00:00
22,591.4237341772152,z-mom,real,2000-01-01 05:00:00
23,799.2700949367089,z-mom,real,2000-01-01 05:00:00
24,747.8800632911392,z-mom,real,2000-01-01 05:00:00
25,698.2756329113924,z-mom,real,2000-01-01 05:00:00
26,586.3507120253165,z-mom,real,2000-01-01 05:00:00
27,452.03148734177216,z-mom,real,2000-01-01 05:00:00
28,275.6635878164557,z-mom,real,2000-01-01 05:00:00
29,185.7907832278481,z-mom,real,2000-01-01 05:00:00
30,330.8768591772152,z-mom,real,2000-01-01 05:00:00
31,482.1357594936709,z-mom,real,2000-01-01 05:00:00
32,522.1860759493671,z-mom,real,2000-01-01 05:00:00
33,582.5028085443038,z-mom,real,2000-01-01 05:00:00
34,618.4524920886076,z-mom,real,2000-01-01 05:00:00
35,355.1958860759494,z-mom,real,2000-01-01 05:00:00
36,167.6370055379747,z-mom,real,2000-01-01 05:00:00
37,181.85913765822784,z-mom,real,2000-01-01 05:00:00
38,84.30267009493672,z-mom,real,2000-01-01 05:00:00
39,351.59996044303796,z-mom,real,2000-01-01 05:00:00
40,262.1322389240506,z-mom,real,2000-01-01 05:00:00
41,270.2543710443038,z-mom,real,2000-01-01 05:00:00
42,-7.947191455696203,z-mom,real,2000-01-01 05:00:00
43,112.68588805379747,z-mom,real,2000-01-01 05:00:00
44,-217.42933148734178,z-mom,real,2000-01-01 05:00:00
45,-94.60087025316456,z-mom,real,2000-01-01 05:00:00
46,-11.462885680379747,z-mom,real,2000-01-01 05:00:00
47,-22.1185917721519,z-mom,real,2000-01-01 05:00:00
48,-173.2521756329114,z-mom,real,2000-01-01 05:00:00
0,0.0,x-press,real,2000-01-01 05:00:00
1,-7.033007136669767e-07,x-press,real,2000-01-01 05:00:00
2,-4.4281912892074615e-07,x-press,real,2000-01-01 05:00:00
3,-6.271750407904619e-06,x-press,real,2000-01-01 05:00:00
4,-1.0559931070019957e-05,x-press,real,2000-01-01 05:00:00
5,3.901170930475928e-05,x-press,real,2000-01-01 05:00:00
6,-7.753956742817536e-05,x-press,real,2000-01-01 05:00:00
7,0.00015658471966162324,x-press,real,2000-01-01 05:00:00
8,0.0002074932708637789,x-press,real,2000-01-01 05:00:00
9,0.00030036739190109074,x-press,real,2000-01-01 05:00:00
10,-5.1519393309718e-05,x-press,real,2000-01-01 05:00:00
11,2.6647938284440897e-05,x-press,real,2000-01-01 05:00:00
12,0.0003302726545371115,x-press,real,2000-01-01 05:00:00
13,-0.0002797216293402016,x-press,real,2000-01-01 05:00:00
14,1.5134049817788764e-06,x-press,real,2000-01-01 05:00:00
15,0.00015354881179518998,x-press,real,2000-01-01 05:00:00
16,0.0001506809057900682,x-press,real,2000-01-01 05:00:00
17,-2.7550506274565123e-05,x-press,real,2000-01-01 05:00:00
18,0.00033375012571923435,x-press,real,2000-01-01 05:00:00
19,-0.0005055228830315173,x-press,real,2000-01-01 05:00:00
20,-7.625148282386363e-05,x-press,real,2000-01-01 05:00:00
21,-0.000790938560385257,x-press,real,2000-01-01 05:00:00
22,8.192148925445508e-06,x-press,real,2000-01-01 05:00:00
23,0.0007749131182208657,x-press,real,2000-01-01 05:00:00
24,0.0001797487202566117,x-press,real,2000-01-01 05:00:00
25,-0.0002933389332611114,x-press,real,2000-01-01 05:00:00
26,-0.0001642630813876167,x-press,real,2000-01-01 05:00:00
27,0.00017119449330493808,x-press,real,2000-01-01 05:00:00
28,0.0003548524109646678,x-press,real,2000-01-01 05:00:00
29,0.00020566796592902392,x-press,real,2000-01-01 05:00:00
30,0.00010836953879334033,x-press,real,2000-01-01 05:00:00
31,0.0008293421124108136,x-press,real,2000-01-01 05:00:00
32,0.00025318897678516805,x-press,real,2000-01-01 05:00:00
33,0.0002364432148169726,x-press,real,2000-01-01 05:00:00
34,0.00020138044783379883,x-press,real,2000-01-01 05:00:00
