,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,1076.0149,4176868000.0,965.6881290043904,190.8696746826172,755.1664428710938,1882.1014404296875,40.786423,1035.2286,2000-01-01 01:00:00
1,1073.3413,4166835700.0,964.4887570625176,190.33375549316406,757.827392578125,1833.5241088867188,41.109814,1032.2318,2000-01-01 01:05:00
2,1071.4873,4031533800.0,963.7921521261729,188.6779022216797,767.7589299128606,1814.353271484375,41.440308,1030.0475,2000-01-01 01:10:00
3,1071.2668,3904194800.0,964.0059647118372,188.7261232648577,785.3462853064904,1801.7959594726562,41.844604,1029.4224,2000-01-01 01:15:00
4,1047.4248,3096345600.0,940.1092689150554,175.04912968685753,788.0001220703125,1812.4689534505208,41.380722,1006.0439,2000-01-01 01:20:00
5,959.60223,1831226000.0,856.1874429702879,173.30845963327508,761.9551920572917,1730.3248291015625,38.69144,920.9107,2000-01-01 01:25:00
6,813.39014,1010892200.0,724.8480875328291,134.92635091145834,557.5310133026867,1440.3902365944602,35.346973,778.04315,2000-01-01 01:30:00
7,812.7049,1009635500.0,723.6140200410714,134.4102534702846,560.1651611328125,1436.083740234375,35.425606,777.27924,2000-01-01 01:35:00
8,812.47815,1009195600.0,723.0514115538397,136.52937224417022,560.7158277558117,1435.3792830757473,35.638287,776.8399,2000-01-01 01:40:00
9,791.14435,931520200.0,703.8794951907606,128.7050029056173,535.505092713891,1380.8714773995537,35.25286,755.89154,2000-01-01 01:45:00
10,790.65594,930820160.0,703.1496329018454,128.78996900101782,539.1127372409986,1380.2979736328125,35.18044,755.4755,2000-01-01 01:50:00
11,790.244,930207170.0,703.0163582734046,129.87883496640333,543.5360051935369,1376.2679332386363,35.085197,755.1589,2000-01-01 01:55:00
12,811.0579,1006955260.0,721.5122140338304,134.34268604625356,570.3042827405428,1425.7732044566762,35.431824,775.62585,2000-01-01 02:00:00
13,788.16705,927394000.0,701.2578876561746,127.63984888250178,544.3162330421242,1372.4735773259943,34.746853,753.42004,2000-01-01 02:05:00
14,866.1017,1251644900.0,770.1922649572638,161.61839733701763,644.4531988846628,1558.2054998224432,36.509556,829.592,2000-01-01 02:10:00
15,866.0986,1251927700.0,770.2763708565907,161.5581334811538,644.6279907226562,1559.7896728515625,36.523754,829.5747,2000-01-01 02:15:00
16,882.57837,1338691700.0,784.6447444544569,172.02877338115985,659.2142185520481,1596.7289457775298,36.95756,845.62067,2000-01-01 02:20:00
17,808.9202,1004216770.0,719.4500069497533,136.005126953125,569.9903841885654,1419.5716711956522,35.216614,773.7036,2000-01-01 02:25:00
18,864.1102,1247871200.0,766.9176129154944,160.82841810539588,638.1467681884766,1552.4739213423295,36.28418,827.82605,2000-01-01 02:30:00
19,846.6975,1163990800.0,751.6513071231899,154.87072913326435,617.912815403294,1510.44775390625,35.74516,810.9527,2000-01-01 02:35:00
20,846.41583,1163728800.0,751.7130020825767,155.27500376981848,620.6697130705181,1507.2332763671875,35.639008,810.777,2000-01-01 02:40:00
21,862.26733,1244899100.0,765.3633532512515,163.00750894257516,642.4743347167969,1549.3284708658855,35.925438,826.342,2000-01-01 02:45:00
22,844.66907,1161025500.0,750.0937858028154,157.55850037532068,623.2492774757179,1509.7229746942935,35.361774,809.30743,2000-01-01 02:50:00
23,843.5006,1159337300.0,748.9909462069618,157.41857999913833,623.5267866085737,1508.6430497602983,35.211823,808.28864,2000-01-01 02:55:00
24,842.8869,1158586600.0,748.6342982391336,157.43344685568738,622.3123715049342,1508.537470037287,35.08994,807.797,2000-01-01 03:00:00
25,842.6242,1158457000.0,748.8124347925855,157.7249615987142,621.4545384457236,1508.3044840494792,34.990253,807.6341,2000-01-01 03:05:00
26,842.0229,1157553900.0,748.5837878955167,158.95101255529067,623.1087431066177,1507.417236328125,34.86814,807.1546,2000-01-01 03:10:00
27,841.3459,1156463900.0,748.2521299668982,159.5649585334622,623.6901662726151,1504.8766334170386,34.76381,806.5821,2000-01-01 03:15:00
28,840.86237,1155657300.0,747.9494050402072,159.48055312212776,621.9988403320312,1503.2633637927827,34.71561,806.1469,2000-01-01 03:20:00
29,841.0279,1155927200.0,748.244403587491,156.88808657518075,618.4334010074014,1503.389237837358,34.718586,806.3093,2000-01-01 03:25:00
30,841.2125,1156277200.0,748.4756592568659,153.78311606014475,614.3216834435096,1503.604647549716,34.762836,806.44995,2000-01-01 03:30:00
31,840.9287,1155815400.0,748.0056817966024,152.20524686925552,610.1567993164062,1503.108154296875,34.728107,806.20087,2000-01-01 03:35:00
32,840.3355,1154845700.0,747.2892261367081,152.05486598159328,609.717519906851,1502.3071400035512,34.680016,805.65533,2000-01-01 03:40:00
33,840.20593,1154804700.0,747.3221778456732,152.0958005990555,611.3756762052838,1502.5854201543898,34.674152,805.532,2000-01-01 03:45:00
34,840.46326,1155405800.0,747.742686356744,152.31772189670139,612.3903841585726,1501.4719959605825,34.66277,805.80066,2000-01-01 03:50:00
35,840.4676,1155531000.0,747.9307287443136,152.55950381150888,612.727299616887,1499.4615187872023,34.67381,805.7939,2000-01-01 03:55:00
36,839.9779,1154735700.0,747.468268557268,152.77986907958984,614.1677952816611,1498.037031693892,34.655434,805.32227,2000-01-01 04:00:00
37,839.2909,1153510900.0,746.595062600872,152.16911506652832,614.4771664268092,1498.2979561941963,34.62126,804.6696,2000-01-01 04:05:00
38,838.7211,1152450400.0,745.7911906157111,152.17747946346506,613.3850836502878,1498.8123081752233,34.63207,804.08923,2000-01-01 04:10:00
