,real,stable,neutstab,logT,low_step,high_step,Times
0,34.77954410601266,35.9933964596519,38.31125148338607,39.780132515822785,37.9506230221519,39.04811857199367,2000-01-01 01:00:00
1,-233.2246566319438,39.046329413268275,75.25771990260121,129.04082119956152,76.75438482872165,27.302981417465514,2000-01-01 01:05:00
2,-263.6235831792914,-39.16470701547017,173.4638037936541,152.1671830339686,-35.97114357766143,101.17202720995539,2000-01-01 01:10:00
3,329.4104813572977,95.90988248772739,122.125885044755,193.31944597651665,83.95858894922375,39.62956213623296,2000-01-01 01:15:00
4,79.65920994551342,67.13471852778447,160.1681851079245,256.7576361330662,200.76371462411794,138.9972609158521,2000-01-01 01:20:00
5,724.4198541954638,-157.26029726283497,240.59555284752366,275.0611513083363,139.1459480717507,96.35033013465943,2000-01-01 01:25:00
6,662.9438874574116,-346.4242855521894,45.529649480557,278.4133767341152,-294.8207855226791,-18.464838738617154,2000-01-01 01:30:00
7,6.561034793793658,-23.098267750265652,-370.11303324139925,208.17903543215812,-199.23779316358107,-383.62155375951755,2000-01-01 01:35:00
8,887.8591345195298,75.06088519528497,71.4062639646612,188.06183280598094,-210.37172822166696,460.2187438049811,2000-01-01 01:40:00
9,134.9602162284666,-266.6923919364806,0.49619419647311247,483.0289651468315,-542.5152686144321,-399.255862478636,2000-01-01 01:45:00
10,459.51697468751706,-220.7289459752009,50.556829583533364,510.2567493414264,-544.3721551120668,247.35769527180366,2000-01-01 01:50:00
11,607.8710946021172,-33.27422286812402,-583.3097712969094,436.03409313105107,32.494483240484755,157.70170144154335,2000-01-01 01:55:00
12,10.723786629846552,4.603222413738053,-694.503003913153,302.89750223177134,-452.75212931480445,-336.6417056933266,2000-01-01 02:00:00
13,12.101585865631243,-154.4455091963828,-635.0694487639214,304.40054493061325,-454.824454773892,-264.96734885450513,2000-01-01 02:05:00
14,-123.69892291079206,-370.3809386634967,-782.6630332302877,617.1001084663258,-577.292045600729,252.3227811816752,2000-01-01 02:10:00
15,11.393780331100192,-237.22257888022608,-299.5760745281578,142.69932698744864,-378.0476071854466,-31.14243641033823,2000-01-01 02:15:00
16,206.59462017744883,-517.1244182515757,-268.5141323544949,93.56496062727568,-614.1196918591393,390.48722053993095,2000-01-01 02:20:00
17,475.20195415853027,-203.78533816814087,-156.49229348531233,-63.29262556452887,-533.7449808626661,-38.87718323894624,2000-01-01 02:25:00
18,650.8948980764154,-341.1518645443442,144.00136871191512,731.6999929751838,-386.5029990702278,-188.83408755695478,2000-01-01 02:30:00
19,640.9339696416802,-286.3605158839043,453.02043448527206,655.9710303270214,-850.884022441323,23.632560644202844,2000-01-01 02:35:00
20,784.2647986539282,-473.3469095303169,-89.96784464869633,478.8095134496113,-628.7455443509227,353.4280171296884,2000-01-01 02:40:00
21,444.9679190527093,-200.09774850163083,-413.9373867105259,-34.513038533555765,-422.71109824649744,-355.6247045434975,2000-01-01 02:45:00
22,550.1967723429104,-29.76224879201716,111.0397941419658,334.89616940161966,-295.85545259238086,147.8499262490433,2000-01-01 02:50:00
23,585.4017216286311,-57.30036037516193,-37.364908314720246,-86.03927054244697,-4.376667989003885,-279.73687083247927,2000-01-01 02:55:00
24,816.4762917317988,-334.4366089613952,-109.86795169253568,-147.50012827981806,-214.56398158858175,-145.8374217486202,2000-01-01 03:00:00
25,956.6573315838534,-680.4805234606398,342.7808065933939,269.82291657744355,16.06327030403475,33.784085561716715,2000-01-01 03:05:00
26,669.4959782387073,-897.8903053012948,-177.06958563381332,389.47199717441504,46.996630189196466,181.69525949758216,2000-01-01 03:10:00
27,250.53246332746343,-640.0085858924535,-584.6701218325541,414.759466965811,154.21707496222376,-102.20924398093912,2000-01-01 03:15:00
28,478.44671347971484,-430.6224239071442,-451.7527898554144,627.802833990495,-47.13159699367333,-9.79566800350013,2000-01-01 03:20:00
29,762.6434483692468,-140.23008425699442,-351.31127980188495,513.006284606665,163.89972286389067,-19.11628794923391,2000-01-01 03:25:00
30,789.6993120850656,-295.4339140832905,-91.24798545198571,599.761332366927,262.5032916976881,-54.79080141912374,2000-01-01 03:30:00
31,880.6049581316385,-234.14109717261343,-432.3474752950278,253.3690941306281,189.81162489623154,182.63962707392204,2000-01-01 03:35:00
32,842.9738963162482,-329.3310536326213,-647.3712338252107,-178.42830131678986,233.8041989009388,403.9249264485573,2000-01-01 03:40:00
33,978.4120590001629,-353.6158865245304,-88.1989627233642,204.28477900967204,681.3188295752949,212.8882355464571,2000-01-01 03:45:00
34,534.5923697498589,-308.7581531921105,35.65998944423767,244.587844178176,-13.694962759001134,-82.51204900559794,2000-01-01 03:50:00
35,-83.57248552572811,-440.0542084337824,-230.23077487353007,135.30316894427764,526.3230204325873,-372.681053992256,2000-01-01 03:55:00
36,-618.007147250581,-487.71522508423965,567.0569042624754,797.2496569716101,178.38470215646743,-194.66126957957835,2000-01-01 04:00:00
37,-312.1836540565002,-356.7675970077755,115.56227869432301,671.7831873753538,165.02435473998662,-262.3363860468787,2000-01-01 04:05:00
38,-46.43829387302486,-233.7802042012738,32.664834429406646,74.84941116577863,78.43311370729977,-31.635463982804175,2000-01-01 04:10:00
39,520.1530924579184,-138.38950922974388,-223.64093985340446,-991.1326930963103,-531.0300201450572,-220.71560657949914,2000-01-01 04:15:00
40,-33.764810747147806,-24.562409461992832,-169.76436228671048,-2028.820365833302,-385.4684352966991,-240.83491559161024,2000-01-01 04:20:00
41,502.031308628208,-82.33001068974897,-460.257588616686,-1641.6124469344493,422.6866340506404,-214.73144029535197,2000-01-01 04:25:00
